player,team,team_abbrev,avg,hits,homeRuns,rbi,stolenBases,obp,slg,ops,atBats,plateAppearances,strikeOuts,baseOnBalls,gamesplayed,PlayerID,scrape_date
Iván Herrera,St. Louis Cardinals,STL,.244,138,16,64,8,.357,.377,.734,565,670,123,72,149,671056,2026-09-14
Victor Bericoto,San Francisco Giants,SF,.244,21,4,12,1,.253,.419,.672,86,87,24,1,33,682674,2026-09-14
Mickey Moniak,Colorado Rockies,COL,.244,91,22,64,1,.283,.488,.771,373,403,111,20,107,666160,2026-09-14
Jorbit Vivas,Washington Nationals,WSH,.244,69,3,29,2,.337,.336,.673,283,333,47,38,114,678391,2026-09-14
Dillon Dingler,Detroit Tigers,DET,.244,126,27,87,0,.304,.456,.760,517,571,131,32,136,693307,2026-09-14
Mike Trout,Los Angeles Angels,LAA,.244,115,21,52,11,.379,.430,.809,472,579,152,94,130,545361,2026-09-14
Kody Clemens,Minnesota Twins,MIN,.243,118,26,76,8,.305,.474,.779,485,534,120,37,132,665019,2026-09-14
Raynel Delgado,Houston Astros,HOU,.243,9,1,4,0,.300,.351,.651,37,41,7,3,19,669384,2026-09-14
Daniel Susac,San Francisco Giants,SF,.243,35,3,22,2,.289,.375,.664,144,161,36,8,53,691740,2026-09-14
Jared Triolo,Pittsburgh Pirates,PIT,.243,75,3,29,13,.315,.311,.626,309,347,67,28,113,669707,2026-09-14
Aaron Judge,New York Yankees,NYY,.242,56,17,38,5,.365,.506,.871,231,279,81,43,64,592450,2026-09-14
Heliot Ramos,New York Yankees,NYY,.242,88,11,41,4,.301,.399,.700,363,395,108,26,101,671218,2026-09-14
Julio Rodríguez,Seattle Mariners,SEA,.242,134,21,65,20,.302,.396,.698,553,606,136,44,139,677594,2026-09-14
